"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","scientific_name_recorded_T.F","recorded_scientific_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_family_name","family_est_reasoning"
"CINTILLA","LISTON","liston",FALSE,NA,"Escama","Trichiurus auriga","Species","Trichiurus auriga","Trichiurus","Trichiuridae","Perciformes","Actinopterygii","Demersal marine fishes","Trichiurus lepturus","Trichiurus nitens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trichiurus auriga","low confidence","mismatch between keys","Trichiurus","genus derived from known species","Trichiuridae","family derived from IHH key"
"OTRAS","CUBERA","cubera",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lujtanus cyanopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lujtanus cyanopterus","high confidence","match to Hem's key","Lujtanus","genus derived from known species","family missing but genus available","family unknown but genus available"
"RUBIA Y VILLAJAIBA","CANANE (OCYURUS CHRYSURUS)","canane",TRUE,"Ocyurus Chrysurus","Escama","Lutjanidae","Family","NEI","NEI","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Lutjanus peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ocyurus Chrysurus","virtually certain","name was recorded in CONAPESCA","Ocyurus","genus derived from known species","Lutjanidae","family derived from IHH key"
"TIBURON","TIBURON AMARILLO","tiburon amarillo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negaprion brevirostris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negaprion brevirostris","high confidence","match to Hem's key","Negaprion","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","COCUYO","cocuyo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bairdiella ronchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bairdiella ronchus","high confidence","match to Hem's key","Bairdiella","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","SALMONETE","salmonete",FALSE,NA,"Escama","Mulloidichthys dentatus","Species","Mulloidichthys dentatus","Mulloidichthys","Mullidae","Perciformes","Actinopterygii","Demersal marine fishes","Xenichthys xanti","Diplectrum eumelum","Mulloidichthys dentatus","Pseudupeneus grandisquamis ","Sectator ocyurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mulloidichthys dentatus","high confidence","logical match in both keys","Mulloidichthys","genus derived from known species","Mullidae","family derived from IHH key"
"OTRAS","CODORNIZ","codorniz",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cheilotrema saturnum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cheilotrema saturnum","high confidence","match to Hem's key","Cheilotrema","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","AGUJA","aguja",FALSE,NA,"Escama","Strongylura exilis","Species","Strongylura exilis","Strongylura","Belonidae","Beloniformes","Actinopterygii","Pelagic marine fishes","Belone belone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strongylura exilis","low confidence","mismatch between keys","Strongylura","genus derived from known species","Belonidae","family derived from IHH key"
"OTRAS","CORCOVADO","corcovado",FALSE,NA,"Escama","Orthopristis chalceus","Species","Orthopristis chalceus","Orthopristis","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Orthopristis chalseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orthopristis chalceus","high confidence","logical match in both keys","Orthopristis","genus derived from known species","Haemulidae","family derived from IHH key"
"OTRAS","TONZAC","tonzac",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"ABULON","ABULON ROJO","abulon rojo",FALSE,NA,"Abulon","Haliotis rufescens","Species","Haliotis rufescens","Haliotis","Haliotidae","Lepetellida","Gastropoda","Molluscs excl. Cephalopods","Haliotis rufescens","Haliotis rufescens ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haliotis rufescens","high confidence","logical match in both keys","Haliotis","genus derived from known species","Haliotidae","family derived from IHH key"
"OTRAS","VIUDA","viuda",FALSE,NA,"Escama","Sebastes entomelas","Species","Sebastes entomelas","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Mustelus canis","Mustelus norrisi","Mustelus higmani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sebastes entomelas","low confidence","mismatch between keys","Sebastes","genus derived from known species","Sebastidae","family derived from IHH key"
"ABULON","ABULON BLANCO","abulon blanco",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haliotis sorenseni ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haliotis sorenseni","high confidence","match to Hem's key","Haliotis","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","CUCARACHA","cucaracha",FALSE,NA,"Otras","Evibacus princeps","Species","Evibacus princeps","Evibacus","Scyllaridae","Decapoda","Malacostraca","Crustaceans","Stenoplax limaciformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evibacus princeps","low confidence","mismatch between keys","Evibacus","genus derived from known species","Scyllaridae","family derived from IHH key"
"OTRAS","PEZ PEINE","pez peine",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pristis pectinata ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pristis pectinata","high confidence","match to Hem's key","Pristis","genus derived from known species","family missing but genus available","family unknown but genus available"
"CAMARON","CAMARON MOTEADO","camaron moteado",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metapenaeus monoceros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metapenaeus monoceros","high confidence","match to Hem's key","Metapenaeus","genus derived from known species","family missing but genus available","family unknown but genus available"
"CABRILLA","CABRILLA HABANERA","cabrilla habanera",FALSE,NA,"Escama","Paralabrax auroguttatus","Species","Paralabrax auroguttatus","Paralabrax","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Lutjanus analis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paralabrax auroguttatus","low confidence","mismatch between keys","Paralabrax","genus derived from known species","Serranidae","family derived from IHH key"
"MOJARRA","MOJARRA CAMARONERA","mojarra camaronera",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calamus brachysomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calamus brachysomus","high confidence","match to Hem's key","Calamus","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","ISABELITA","isabelita",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetodipterus faber ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetodipterus faber","high confidence","match to Hem's key","Chaetodipterus","genus derived from known species","family missing but genus available","family unknown but genus available"
"MOJARRA","MOJARRA GARABATA","mojarra garabata",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calamus brachysomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calamus brachysomus","high confidence","match to Hem's key","Calamus","genus derived from known species","family missing but genus available","family unknown but genus available"
"RONCO","RONCO AMARILLO","ronco amarillo",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Haemulon steindachneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"CARACOL","CARACOL TURBO FLUCTUOSO","caracol turbo fluctuoso",FALSE,NA,"Caracol","Turbo fluctuosus","Species","Turbo fluctuosus","Turbo","Turbinidae","Patellogastropoda","Gastropoda","Molluscs excl. Cephalopods","Lobatus peruvianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turbo fluctuosus","low confidence","mismatch between keys","Turbo","genus derived from known species","Turbinidae","family derived from IHH key"
"OTRAS","PEZ PIPA","pez pipa",FALSE,NA,"Escama","Syngnathus abaster","Species","Syngnathus abaster","Syngnathus","Syngnathidae","Syngnathiformes","Actinopterygii","Demersal marine fishes","Syngnathus affine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syngnathus abaster","low confidence","mismatch between keys","Syngnathus","genus derived from known species","Syngnathidae","family derived from IHH key"
"BAGRE","BAGRE GAVIA","bagre gavia",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","RATINA","ratina",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"ESPECIE GENERICA","ESPECIE GENERICA","especie generica",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CORVINA","CORVINA GOLFINA","corvina golfina",FALSE,NA,"Escama","Cynoscion spp","Genus","NEI","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Cynoscion othonopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Sciaenidae","family derived from IHH key"
"TIBURON","TIBURON BATEA","tiburon batea",FALSE,NA,"Tiburon","Carcharhinus leucas","Species","Carcharhinus leucas","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus leucas","high confidence","match to IHH key","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"BANDERA","BANDERILLA","banderilla",FALSE,NA,"Escama","Gerres cinereus","Species","Gerres cinereus","Gerres","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes","Epinephelus fasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gerres cinereus","low confidence","mismatch between keys","Gerres","genus derived from known species","Gerreidae","family derived from IHH key"
"ROBALO","ROBALO RAYADO","robalo rayado",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Morone saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Morone saxatilis","high confidence","match to Hem's key","Morone","genus derived from known species","family missing but genus available","family unknown but genus available"
"RAYA Y SIMILARES","OBISPO","obispo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dasyatis violacea","Aetobatus narinari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"ALMEJA","ALMEJA MANO LEON","almeja mano leon",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","COCODRILO","cocodrilo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudocarcharias kamoharai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudocarcharias kamoharai","high confidence","match to Hem's key","Pseudocarcharias","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","BARBON","barbon",FALSE,NA,"Escama","Bagre pinnimaculatus","Species","Bagre pinnimaculatus","Bagre","Ariidae","Siluriformes","Actinopterygii","Demersal marine fishes","Pseudupeneus grandisquamis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bagre pinnimaculatus","low confidence","mismatch between keys","Bagre","genus derived from known species","Ariidae","family derived from IHH key"
"SARDINA","SARDINA MACHETE","sardina machete",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opisthonema bulleri","Opisthonema libertate","Opisthonema medirastre","Odontognathus panamensis","Opisthopterus dovii","Pliosteostema lutipinnis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"OTRAS","FREL","frel",FALSE,NA,"No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","PESCADILLA","pescadilla",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merluccius productus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merluccius productus","high confidence","match to Hem's key","Merluccius","genus derived from known species","family missing but genus available","family unknown but genus available"
"MERO","AGUAJI","aguaji",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mycteroperca microlepis","Mycteroperca venenosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"RUBIA Y VILLAJAIBA","GUANAPO","guanapo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus synagris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus synagris","high confidence","match to Hem's key","Lutjanus","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","ACOCIL","acocil",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cambarellus (Cambarellus) montezumae","Cambarellus zempoalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"OTRAS","CATALINETA","catalineta",FALSE,NA,"Escama","Chloroscombrus orqueta","Species","Chloroscombrus orqueta","Chloroscombrus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Anisotremus surinamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chloroscombrus orqueta","low confidence","mismatch between keys","Chloroscombrus","genus derived from known species","Carangidae","family derived from IHH key"
"CORVINA","CORVINA ALETA CORTA","corvina aleta corta",FALSE,NA,"Escama","Cynoscion parvipinnis","Species","Cynoscion parvipinnis","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Cynoscion parvipinnis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cynoscion parvipinnis","high confidence","logical match in both keys","Cynoscion","genus derived from known species","Sciaenidae","family derived from IHH key"
"OTRAS","ESPADIN","espadin",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clupanodon phalerica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clupanodon phalerica","high confidence","match to Hem's key","Clupanodon","genus derived from known species","family missing but genus available","family unknown but genus available"
"RONCO","RONCO ARARA","ronco arara",FALSE,NA,"Escama","Haemulon album","Species","Haemulon album","Haemulon","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Haemulon plumieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemulon album","high confidence","logical match in both keys","Haemulon","genus derived from known species","Haemulidae","family derived from IHH key"
"OTRAS","CATAN","catan",FALSE,NA,"No ID","Lepisosteus osseus","Species","Lepisosteus osseus","Lepisosteus","Lepisosteidae","Lepisosteiformes","Actinopterygii","Freshwater fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lepisosteus osseus","high confidence","match to IHH key","Lepisosteus","genus derived from known species","Lepisosteidae","family derived from IHH key"
"CABRILLA","CABRILLA ROSA","cabrilla rosa",FALSE,NA,"Escama","Mycteroperca rosacea","Species","Mycteroperca rosacea","Mycteroperca","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Alphestes immaculatus","Hyporthodus acanthistius","Hemanthias peruanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mycteroperca rosacea","low confidence","mismatch between keys","Mycteroperca","genus derived from known species","Serranidae","family derived from IHH key"
"OTRAS","CRIOLLO","criollo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"TIBURON","TIBURON PICUDO","tiburon picudo",FALSE,NA,"Tiburon","Rhizoprionodon longurio","Species","Rhizoprionodon longurio","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Isogomphodon oxyrhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizoprionodon longurio","low confidence","mismatch between keys","Rhizoprionodon","genus derived from known species","Carcharhinidae","family derived from IHH key"
"CARACOL","CARACOL GORRITO","caracol gorrito",FALSE,NA,"Caracol","Triplofusus princeps","Species","Triplofusus princeps","Triplofusus","Fasciolariidae","Neogastropoda","Gastropoda","Molluscs excl. Cephalopods","Crucibulum scutellatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triplofusus princeps","low confidence","mismatch between keys","Triplofusus","genus derived from known species","Fasciolariidae","family derived from IHH key"
"ROBALO","ROBALO ALETA AMARILLA","robalo aleta amarilla",FALSE,NA,"Escama","Centropomus robalito","Species","Centropomus robalito","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus robalito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropomus robalito","high confidence","logical match in both keys","Centropomus","genus derived from known species","Centropomidae","family derived from IHH key"
"OTRAS","PICUA CORSARIA","picua corsaria",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphyraena barracuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphyraena barracuda","high confidence","match to Hem's key","Sphyraena","genus derived from known species","family missing but genus available","family unknown but genus available"
"TIBURON","TIBURON POROSO","tiburon poroso",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus porosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus porosus","high confidence","match to Hem's key","Carcharhinus","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","RIPIO","ripio",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CARPA","CARPA ISRAEL","carpa israel",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","MEDUSA BOLA CAÑON","medusa bola cañon",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","MADRE PERLA","madre perla",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megapitaria aurantiaca","Pinctada mazatlanica","Pteria sterna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"OTRAS","TOTOABA","totoaba",FALSE,NA,"No ID","Totoaba macdonaldi","Species","Totoaba macdonaldi","Totoaba","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Cynoscion macdonaldi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Totoaba macdonaldi","low confidence","mismatch between keys","Totoaba","genus derived from known species","Sciaenidae","family derived from IHH key"
"CARPA","CARPA PLATEADA","carpa plateada",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypophthalmichthys molitrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypophthalmichthys molitrix","high confidence","match to Hem's key","Hypophthalmichthys","genus derived from known species","family missing but genus available","family unknown but genus available"
